City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
181,Villazon,BO,2022-07-23 22:34:22,clear sky,-22.0866,-65.5942,49.44,12,1,8.14
182,Lagos,NG,2022-07-23 22:33:03,moderate rain,6.5833,3.75,74.03,94,100,3.94
183,Longyearbyen,SJ,2022-07-23 22:35:22,broken clouds,78.2186,15.6401,48.04,87,75,6.91
184,Tasiilaq,GL,2022-07-23 22:35:23,overcast clouds,65.6145,-37.6368,39.36,84,100,7.87
185,Kimbe,PG,2022-07-23 22:27:53,few clouds,-5.5502,150.1429,79.86,81,13,4.32
186,Tura,IN,2022-07-23 22:35:23,light rain,25.5198,90.2201,73.17,99,100,4.41
187,Broken Hill,AU,2022-07-23 22:32:12,clear sky,-31.95,141.4333,55.78,72,2,9.95
188,Portree,GB,2022-07-23 22:35:24,light rain,57.4129,-6.1942,58.1,98,100,4.16
189,Saldanha,ZA,2022-07-23 22:35:24,clear sky,-33.0117,17.9442,54.82,68,0,20.96
190,Naze,JP,2022-07-23 22:35:24,overcast clouds,28.3667,129.4833,79.72,69,100,0.74
191,Te Anau,NZ,2022-07-23 22:35:25,broken clouds,-45.4167,167.7167,42.35,87,60,1.05
192,Plettenberg Bay,ZA,2022-07-23 22:35:25,light rain,-34.0527,23.3716,52.9,76,83,10.2
193,Grindavik,IS,2022-07-23 22:35:25,broken clouds,63.8424,-22.4338,52.02,84,53,10.02
194,Pisco,PE,2022-07-23 22:35:26,mist,-13.7,-76.2167,60.85,88,100,5.75
195,Umm Lajj,SA,2022-07-23 22:35:26,overcast clouds,25.0213,37.2685,86.4,52,100,9.35
196,Ukhta,RU,2022-07-23 22:35:26,scattered clouds,63.5671,53.6835,53.65,65,32,1.7
197,Aitape,PG,2022-07-23 22:35:27,few clouds,-3.1374,142.3475,80.51,83,16,3.38
198,Port Hueneme,US,2022-07-23 22:33:07,overcast clouds,34.1478,-119.1951,97.25,72,100,11.5
199,Svetlogorsk,BY,2022-07-23 22:35:27,broken clouds,52.6333,29.7333,64.18,68,71,6.85
200,Katangli,RU,2022-07-23 22:35:28,broken clouds,51.7102,143.2326,60.53,77,80,7.27
201,Tanout,NE,2022-07-23 22:35:28,broken clouds,14.9709,8.8879,87.06,42,58,8.63
202,Katsuura,JP,2022-07-23 22:35:29,overcast clouds,35.1333,140.3,80.2,79,99,12.64
203,Yar-Sale,RU,2022-07-23 22:35:29,moderate rain,66.8333,70.8333,48.76,89,89,19.71
204,Kwekwe,ZW,2022-07-23 22:35:29,scattered clouds,-18.9281,29.8149,54.91,57,43,5.55
205,Boguchany,RU,2022-07-23 22:35:29,broken clouds,58.3814,97.4531,57.52,89,75,4.59
206,Faya,SA,2022-07-23 22:35:30,overcast clouds,18.3851,42.4509,60.91,76,100,17.58
207,Ostrovnoy,RU,2022-07-23 22:35:30,overcast clouds,68.0531,39.5131,49.84,92,98,2.91
208,Wilmington,US,2022-07-23 22:35:30,clear sky,34.2257,-77.9447,84.11,73,0,5.75
209,Guiratinga,BR,2022-07-23 22:35:31,scattered clouds,-16.3494,-53.7583,76.17,31,25,4.36
210,Pevek,RU,2022-07-23 22:30:31,overcast clouds,69.7008,170.3133,36.07,84,96,4.23
